material_code,source_cpse,raw_description
GAIL-PIP-1037,GAIL,"PIPE - SS - ASTM A312 304 - 1"" - SCH 10S"
BPCL-GAS-1274,BPCL,100MM NON-ASBESTOS GASKET CNAF 1.5MM BS-7531 NON-ASBESTOS 150# INSP REQD
BPCL-FAS-1295,BPCL,DN15 AS FASTENER STUD BOLT AA193 B7
ONGC-VAL-1157,ONGC,"VALVE, CHECK, ASTM A216 WCB, 150MM NB, API 594 A216 WCB, CL 150"
IOCL-VAL-1158,IOCL,CAST IRON VALVE BUTTERFLY 100 NB API 609 IS 210 PN16
IOCL-FLA-1200,IOCL,C.S. FLANGE WNRF 8 INCH ASME B16.5 ASTM A105 150 LBS
ONGC-VAL-1111,ONGC,"VALVE, GATE, ASTM A105, 1"", API-602 A105, 800#"
BPCL-FLA-1218,BPCL,50MM STAINLESS STEEL FLANGE WNRF ASME-B16.5 ASTM A182 F304 150#
GAIL-FAS-1332,GAIL,"FASTENER - CARBON STEEL - HEX NUT - ASTM-A194 GRADE 2H - 3/4"""
GAIL-VAL-1145,GAIL,"VALVE - ASTM A105 - GLOBE - API-602 A105 - 1"" - 800#"
GAIL-GAS-1264,GAIL,"GASKET - SS 316 W/ GRAPHITE - SWG - ASME-B16.20 SS316 - 4"" - 150# - COMPRESSOR STN"
GAIL-PIP-1002,GAIL,"PIPE - CRABON STEEL - ASTM-A106 GRADE B - 1/2"" - SCH 40"
IOCL-PIP-1027,IOCL,CARBON STEEL PIPE 200NB SCH 40 ASTM-A106 GRADE B
BPCL-FAS-1316,BPCL,DN28 AS FASTENER STUD BOLT AA193 B7
IOCL-FAS-1294,IOCL,ALLOY STL FASTENER STUD BOLT 15NB ASTM-A193 B7 COMMODITY: PIP-CS
ONGC-FLA-1217,ONGC,"FLANGE, WNRF, SS, 2"" NOMINAL, ASME B16.5 ASTM A182 F304, CLASS 150"
ONGC-FAS-1324,ONGC,"FASTENER, STUD BOLT, SS, 3/4"" X 110MM NOMINAL, ASTM A193 B8M, DRILLING OP"
BPCL-GAS-1438,BPCL,50MM SS 304 W/ GRAPHITE GASKET SWG ASME-B16.20 SS304 600#
BPCL-FAS-1352,BPCL,DN12 C.S. FASTENER HEX BOLT IS 1367 4.6
BPCL-VAL-1151,BPCL,100 MM CAST STEEL A216 WCB VALVE CHECK API 594 A216 WCB CLASS 150
IOCL-FIT-1381,IOCL,C.S. FITTING TEE EQUAL 4 INCH SCH 40 WPB
GAIL-FLA-1179,GAIL,FLANGE - C.S. - WNRF - ASME B16.5 ASTM A105 - 50 NB - 150 LBS
GAIL-PIP-1052,GAIL,"PIPE - STIANLESS STEEL - ASTM-A312 316 - 2"" - SCH 40S"
ONGC-VAL-1143,ONGC,"VALVE, GLOBE, CS WCB, 4 IN, A216 WCB, 150 LBS, DRILLING OP"
IOCL-PIP-1013,IOCL,CS PIPE 80 NB SCH 40 ASTM A106 GR B
BPCL-VAL-1161,BPCL,DN 100 CAST-IRON VALVE BUTTERFLY API 609 IS 210 PN16 PO# 450091
GAIL-FLA-1224,GAIL,"FLANGE - SS - WNRF - ASME B16.5 ASTM A182 F316 - 2"" - CLASS 150"
ONGC-GAS-1437,ONGC,"GASKET, SWG, SS304/GRAPHITE, 2"" NOMINAL, ASME B16.20 SS304, CLASS 600"
BPCL-GAS-1439,BPCL,100 MM SS304/GRAPHITE GASKET SWG ASME B16.20 SS304 CLASS 300 PO# 450091
BPCL-VAL-1136,BPCL,DN 100 STN STL VALVE BALL API 608 CL 150
GAIL-FLA-1181,GAIL,"FLANGE - CARBON STEEL - WNRF - ASME-B16.5 ASTM A105 - 2"" - 300#"
ONGC-FIT-1383,ONGC,"FITTING, REDUCING TEE, CARBON STEEL, 6"" X 4"", ASTM-A234 WPB, SCH 40, API CERT"
IOCL-FAS-1356,IOCL,AS FASTENER STUD BOLT 1 X 160MM INCH AA193 B16
BPCL-FLA-1235,BPCL,50MM CARBON STEEL FLANGE SWRF ASME-B16.5 ASTM A105 300#
BPCL-FIT-1364,BPCL,DN 50 CARBON-STL FITTING ELBOW 90 LR ASTM A234 WPB SCH 40 BIN: 44-A
IOCL-PIP-1054,IOCL,"STN STL PIEP 2"" SCH 40S ASTM A312 316"
IOCL-PIP-1016,IOCL,CS PIPE 100 NB SCH 40 ASTM A106 GR B TAG# 1024
ONGC-FAS-1309,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 22MM NB, ASTM A193 B7, DRILLING OP"
BPCL-PIP-1011,BPCL,50MM CARBON STEEL PIPE ASTM-A106 GRADE B SCH 80 INSP REQD
BPCL-FIT-1412,BPCL,100 MM SS FITTING ELBOW 90 LR ASTM A403 WP316 SCH 40S MUMBAI REFY
GAIL-FLA-1209,GAIL,FLANGE - C.S. - BLRF - ASME B16.5 ASTM A105 - 150 NB - 150 LBS - NCR REGION
GAIL-VAL-1164,GAIL,VALVE - C.I. - BUTTERFLY - IS 210 - 150 NB - PRESSURE PN16 - PIPELINE PROJ
IOCL-PIP-1042,IOCL,STAINLESS STEEL PIPE 50NB SCH 40S ASTM-A312 304
GAIL-FLA-1188,GAIL,"FLANGE - CARBON STEEL - WNRF - ASME-B16.5 ASTM A105 - 4"" - 150#"
ONGC-FAS-1328,ONGC,"FASTENER, STUD BOLT, STAINLESS STEEL, 1"" X 150MM, ASTM-A193 B8M"
GAIL-PIP-1443,GAIL,"PIPE - CS - ASTM A106 GR B - 5"" - SCH 40"
ONGC-VAL-1106,ONGC,"VALVE, GATE, CAST STEEL A216 WCB, 8"" NOMINAL, API 600 A216 WCB, CLASS 150"
BPCL-PIP-1035,BPCL,DN300 C.S. PIPE GR.B SCH 40
IOCL-PIP-1038,IOCL,STAINLESS STEEL PIPE 25NB SCH 10S ASTM-A312 304
IOCL-FAS-1302,IOCL,AS FASTENER STUD BOLT 3/4 X 110MM INCH AA193 B7
ONGC-FAS-1339,ONGC,"FASTENER, HEX NUT, CS, 1"" NOMINAL, ASTM A194 GR 2H, API CERT"
ONGC-PIP-1021,ONGC,"PIPE, CARBON STEEL, 4"", ASTM-A106 GRADE B, SCH 80, OFFSHORE HAZIRA"
GAIL-FLA-1230,GAIL,"FLANGE - CS - SWRF - ASME B16.5 ASTM A105 - 1"" - CLASS 300 - HVJ LINE"
IOCL-PIP-1036,IOCL,"CARBON-STL PIPE 12"" SCH 40 ASTM A106 GR B"
GAIL-FIT-1374,GAIL,FITTING - CARBON-STL - ELBOW 90 LR - ASTM A234 WPB - DN150 - SCH 40
IOCL-PIP-1010,IOCL,CS PIPE 50 NB SCH 80 ASTM A106 GR B STK-CAT: A
GAIL-PIP-1074,GAIL,PIPE - C.S. - API 5L X65 - 300 NB - PSL2
IOCL-GAS-1242,IOCL,SS304/GRAPHITE GASKET SWG 50 NB ASME B16.20 SS304 CLASS 150
BPCL-GAS-1251,BPCL,DN80 SPW SS304 GRAPHITE GASKET SWG SS304 150 LBS
ONGC-FIT-1409,ONGC,"FITTING, ELBOW 90 LR, CARBON STEEL, 8"", ASTM-A234 WPB, SCH 40"
IOCL-FLA-1222,IOCL,S.S. FLANGE WNRF 4 INCH ASME B16.5 ASTM A182 F304 150 LBS STK-CAT: A
ONGC-PIP-1039,ONGC,"PIPE, S.S., 1 IN, AA312 304, SCH 10S"
BPCL-VAL-1170,BPCL,300 MM CAST STEEL A216 WCB VALVE GATE API 600 A216 WCB CLASS 150 KOCHI REFY STK
BPCL-FIT-1368,BPCL,100 MM CS FITTING ELBOW 90 LR ASTM A234 WPB SCH 40 MUMBAI REFY
BPCL-VAL-1154,BPCL,150 MM CAST STEEL A216 WCB VALVE CHECK API 594 A216 WCB CLASS 150
IOCL-PIP-1084,IOCL,CARBON STEEL PIPE 400NB SCH 40 ASTM-A106 GRADE B
GAIL-FLA-1192,GAIL,FLANGE - C.S. - WNRF - ASME B16.5 ASTM A105 - 100 NB - 300 LBS - HVJ LINE
GAIL-PIP-1048,GAIL,"PIPE - STAINLESS STEEL - ASTM-A312 316 - 1"" - SCH 40S - GAS TRANS HV"
ONGC-FAS-1449,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 3/4"" X 160MM NOMINAL, ASTM A193 B7, DRILLING OP"
BPCL-FAS-1346,BPCL,20 MM CS FASTENER HEX BOLT IS 1367 8.8
ONGC-PIP-1044,ONGC,"PIPE, SS, 4"" NOMINAL, ASTM A312 304, SCH 40S"
BPCL-FAS-1421,BPCL,19 MM ALLOY STEEL FASTENER STUD BOLT ASTM A193 B16
GAIL-FLA-1175,GAIL,FLANGE - C.S. - WNRF - ASME B16.5 ASTM A105 - 25 NB - 150 LBS - COMPRESSOR STN
BPCL-FLA-1204,BPCL,100 MM CS FLANGE BLRF ASME B16.5 ASTM A105 CLASS 150
ONGC-FIT-1370,ONGC,"FITTING, ELBOW 90 LR, C.S., 4 IN, AA234 WPB, SCH 40, MR-NO: 99120"
BPCL-FAS-1308,BPCL,DN22 AS FASTENER STUD BOLT AA193 B7 KOCHI REFY STK
BPCL-FAS-1321,BPCL,19 MM SS FASTENER STUD BOLT ASTM A193 B8 KOCHI REFY STK
IOCL-VAL-1134,IOCL,STAINLESS STEEL VALVE BALL 100NB API-608 CF8M 150#
IOCL-FLA-1219,IOCL,S.S. FLANGE WNRF 2 INCH ASME B16.5 ASTM A182 F304 150 LBS STK-CAT: A
GAIL-FIT-1382,GAIL,"FITTING - CS - REDUCING TEE - ASTM A234 WPB - 6"" X 4"" - SCH 40"
IOCL-FAS-1353,IOCL,CARBON-STL FASTENER HEX BOLT M12 X 50MM IS 1367 4.6 TAG# 1024
ONGC-PIP-1051,ONGC,"PIPE, SS, 2"" NOMINAL, ASTM A312 316, SCH 40S"
ONGC-FLA-1194,ONGC,"FLANGE, WNRF, CS, 6"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150, BOMBAY HIGH STK"
GAIL-FAS-1349,GAIL,FASTENER - CARBON-STL - HEX BOLT - IS 1367 - DN20
BPCL-FAS-1325,BPCL,19MM STAINLESS STEEL FASTENER STUD BOLT ASTM-A193 B8M
GAIL-PIP-1034,GAIL,"PIPE - CARBON STEEL - ASTM-A106 GRADE B - 12"" - SCH 40 - PIPELINE PROJ"
ONGC-FLA-1189,ONGC,"FLANGE, WNRF, C.S., 4 IN, ASME B16.5 ASTM A105, 150 LBS"
IOCL-FLA-1215,IOCL,CARBON STEEL FLANGE SORF 100NB ASME-B16.5 ASTM A105 150# PR-REF: 8402
ONGC-FLA-1431,ONGC,"FLANGE, WNRF, CS, 2"" NOMINAL, ASME B16.5 ASTM A105, CLASS 600"
ONGC-VAL-1120,ONGC,"VALVE, BALL, WCB, 2"", API-608 A216 WCB, 300#"
IOCL-FIT-1423,IOCL,SS FITTING ELBOW 90 LR 50 NB SCH 40S ASTM A403 WP316
ONGC-PIP-1033,ONGC,"PIPE, CS, 12"" NOMINAL, ASTM A106 GR B, SCH 40"
IOCL-FAS-1306,IOCL,ALLOY STEEL FASTENER STUD BOLT 22 NB ASTM A193 B7
BPCL-PIP-1082,BPCL,DN 50 GALV IRON PIPE IS 1239 HEAVY HEAVY
GAIL-FAS-1350,GAIL,FASTENER - CS - HEX BOLT - IS 1367 4.6 - M12 X 50MM
GAIL-VAL-1446,GAIL,"VALVE - WCB - GATE - API-600 A216 WCB - 2.5"" - 150# - GAS TRANS HV"
IOCL-PIP-1050,IOCL,"STN STL PIPE 1"" SCH 40S ASTM A312"
GAIL-FLA-1447,GAIL,"FLANGE - CS - WNRF - ASME B16.5 ASTM A105 - 2.5"" - CLASS 150 - PIPELINE PROJ"
ONGC-PIP-1416,ONGC,"PIPE, STAINLESS STEEL, 2"", ASTM-A312 316, SCH 40S, API CERT"
ONGC-FLA-1173,ONGC,"FLANGE, WNRF, CS, 1"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150, OFFSHORE HAZIRA"
BPCL-FAS-1317,BPCL,16 MM SS FASTENER STUD BOLT ASTM A193 B8
GAIL-GAS-1276,GAIL,"GASKET - CNAF - CNAF 3MM - BS 7531 NON-ASBESTOS - 6"" - CLASS 150 - COMPRESSOR STN"
ONGC-VAL-1150,ONGC,"VALVE, CHECK, CS WCB, 2 IN, API 594 A216 WCB, 150 LBS"
GAIL-FAS-1419,GAIL,"FASTENER - SS - STUD BOLT - ASTM A193 B8M - 3/4"" X 110MM"
BPCL-PIP-1022,BPCL,DN100 C.S. PIPE AA106 GR.B SCH 80 PO# 450091
GAIL-GAS-1292,GAIL,GASKET - SPW SS304 GRAPHITE - SWG - SS304 - 25 NB - 300 LBS - GAS TRANS HV
BPCL-FIT-1389,BPCL,150MM CARBON STEEL FITTING CONCENTRIC REDUCER ASTM-A234 WPB SCH 40 KOCHI REFY STK
ONGC-PIP-1003,ONGC,"PIPE, C.S., 1/2 IN, AA106 GR.B, SCH 40"
GAIL-FAS-1314,GAIL,"FASTENER - ALLOY STEEL - STUD BOLT - ASTM A193 B7 - 1-1/8"" X 175MM - PIPELINE PROJ"
ONGC-VAL-1089,ONGC,"VALVE, GATE, CS WCB, 2 IN, A216 WCB, 150 LBS, BOMBAY HIGH STK"
ONGC-PIP-1067,ONGC,"PIPE, L.T.C.S., 4 IN, AA333 GR.6, SCH 80"
GAIL-VAL-1137,GAIL,"VALVE - CAST STEEL A216 WCB - GLOBE - BS 1873 A216 WCB - 2"" - CLASS 150 - GAS TRANS HV"
IOCL-FLA-1229,IOCL,S.S. FLANGE WNRF 4 INCH ASME B16.5 ASTM A182 F316 150 LBS COMMODITY: PIP-CS
GAIL-FIT-1393,GAIL,FITTING - S.S. - ELBOW 90 LR - AA403 WP304 - 50 NB - SCH 40S
BPCL-FAS-1330,BPCL,DN 25 STN STL FASTENER STUD BOLT ASTM A193 B8M
BPCL-FIT-1405,BPCL,25 MM CS FITTING UNION ASME B16.11 ASTM A105 3000# KOCHI REFY STK
IOCL-PIP-1046,IOCL,S.S. PIPE 4 INCH SCH 40S AA312 304 STK-CAT: A
IOCL-PIP-1009,IOCL,C.S. PIPE 2 INCH SCH 40 AA106 GR.B
IOCL-FIT-1396,IOCL,S.S. FITTING ELBOW 90 LR 2 INCH SCH 40S AA403 WP316 STK-CAT: A
ONGC-FIT-1414,ONGC,"FITTING, ELBOW 90 LR, S.S., 4 IN, AA403 WP316, SCH 40S, DRILLING OP"
BPCL-FAS-1299,BPCL,DN 16 ALLOY STEEL FASTENER STUD BOLT ASTM A193 B7
IOCL-VAL-1155,IOCL,WCB VALVE CHECK 150NB API-594 A216 WCB 150#
ONGC-FIT-1451,ONGC,"FITTING, ELBOW 90 LR, CS, 2.5"" NOMINAL, ASTM A234 WPB, SCH 40, BOMBAY HIGH STK"
IOCL-FLA-1434,IOCL,CARBON STEEL FLANGE WNRF 100NB ASME-B16.5 ASTM A105 600#
GAIL-GAS-1271,GAIL,GASKET - COMPRESSED NON ASBESTOS - CNAF 1.5MM - NON-ASBESTOS - 50 NB - 150 LBS
IOCL-GAS-1291,IOCL,SS 304 W/ GRAPHITE GASKET SWG 25NB ASME-B16.20 SS304 300# TAG# 1024
GAIL-FAS-1323,GAIL,FASTENER - S.S. - STUD BOLT - AA193 B8 - 19 NB - GAS TRANS HV
GAIL-FLA-1199,GAIL,"FLANGE - CARBON STEEL - WNRF - ASME-B16.5 ASTM A105 - 8"" - 150# - PIPELINE PROJ"
ONGC-GAS-1281,ONGC,"GASKET, RTJ R24, SOFT-IRON, 2 IN, ARMCO, 600 LBS, MR-NO: 99120"
ONGC-FLA-1206,ONGC,"FLANGE, BLRF, C.S., 4 IN, ASME B16.5 ASTM A105, 150 LBS"
BPCL-FIT-1380,BPCL,100MM CARBON STEEL FITTING TEE EQUAL ASTM-A234 WPB SCH 40
ONGC-FAS-1322,ONGC,"FASTENER, STUD BOLT, STAINLESS STEEL, 3/4"" X 110MM, ASTM-A193 B8, API CERT"
BPCL-VAL-1425,BPCL,50 MM CAST STEEL A216 WCB VALVE GATE API 600 A216 WCB CLASS 600 MUMBAI REFY
IOCL-PIP-1415,IOCL,SS PIPE 50 NB SCH 40S ASTM A312 316
ONGC-FIT-1366,ONGC,"FITTING, ELBOW 90 LR, CARBON STEEL, 3"", ASTM-A234 WPB, SCH 40"
ONGC-VAL-1130,ONGC,"VALVE, BALL, SS, 2"" NOMINAL, API 608 CF8M, CLASS 150"
IOCL-FIT-1375,IOCL,CS FITTING TEE EQUAL 50 NB SCH 40 ASTM A234 WPB SEC-4 GUJ REFY
IOCL-FAS-1345,IOCL,C.S. FASTENER HEX BOLT M16 X 60MM INCH 8.8
ONGC-FLA-1203,ONGC,"FLANGE, BLRF, C.S., 2 IN, ASME B16.5 ASTM A105, 150 LBS"
IOCL-VAL-1147,IOCL,"A105 VALVE GLOBE 1"" API 602 CL 800"
GAIL-VAL-1087,GAIL,"VALVE - CAST STEEL A216 WCB - GATE - API 600 A216 WCB - 2"" - CLASS 150 - COMPRESSOR STN"
ONGC-PIP-1081,ONGC,"PIPE, G.I., 2 IN, IS 1239 HEAVY, HEAVY, OFFSHORE HAZIRA"
ONGC-FLA-1210,ONGC,"FLANGE, SORF, CS, 2"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150, DRILLING OP"
ONGC-PIP-1007,ONGC,"PIPE, CS, 2"" NOMINAL, ASTM A106 GR B, SCH 40, MR-NO: 99120"
GAIL-FIT-1397,GAIL,"FITTING - CS - COUPLING FULL - ASME B16.11 ASTM A105 - 1"" - 3000#"
GAIL-VAL-1112,GAIL,VALVE - FORGED CARBON STEEL - GATE - API 602 A105 - 25 NB - 800 LBS
IOCL-FIT-1410,IOCL,C.S. FITTING ELBOW 90 LR 8 INCH SCH 40 AA234 WPB TAG# 1024
GAIL-VAL-1104,GAIL,VALVE - CS WCB - GATE - API 600 A216 WCB - 150 NB - 150 LBS - COMPRESSOR STN
GAIL-FAS-1337,GAIL,FASTENER - C.S. - HEX NUT - AA194 GR.2H - 22 NB
ONGC-VAL-1128,ONGC,"VALVE, BALL, CS WCB, 4 IN, API 608 A216 WCB, 150 LBS"
IOCL-GAS-1278,IOCL,COMPRESSED NON ASBESTOS GASKET CNAF 3MM 6 INCH BS 7531 NON-ASBESTOS 150 LBS PR-REF: 8402
IOCL-VAL-1118,IOCL,CS WCB VALVE BALL 2 INCH API 608 A216 WCB 150 LBS TAG# 1024
BPCL-GAS-1259,BPCL,50 MM SS316/GRAPHITE GASKET SWG ASME B16.20 SS316 CLASS 150 PO# 450091
IOCL-PIP-1065,IOCL,LTCS PIPE 100 NB SCH 80 ASTM A333 GR 6 STK-CAT: A
GAIL-PIP-1066,GAIL,"PIPE - LOW TEMP CARBON STEEL - ASTM-A333 GRADE 6 - 4"" - SCH 80"
ONGC-PIP-1057,ONGC,"PIPE, S.S., 3 IN, AA312 316, SCH 40S, DRILLING OP"
GAIL-PIP-1418,GAIL,"PIEP - STAINLESS STEEL - ASTM-A312 316L - 4"" - SCH 40S - PIPELINE PROJ"
IOCL-GAS-1270,IOCL,NON-ASBESTOS GASKET CNAF 1.5MM 50NB BS-7531 NON-ASBESTOS 150#
ONGC-FLA-1223,ONGC,"FLANGE, WNRF, STN STL, 100MM NB, ASME B16.5 ASTM A182 F304, CL 150"
IOCL-FIT-1367,IOCL,C.S. FITTING ELBOW 90 LR 3 INCH SCH 40 AA234 WPB
ONGC-FAS-1297,ONGC,"FASTENER, STUD BOLT, ALLOY STL, 5/8"" X 90MM, ASTM-A193 B7, OFFSHORE HAZIRA"
ONGC-PIP-1069,ONGC,"PIPE, CS, 8"" NOMINAL, API 5L X52, PSL2"
BPCL-VAL-1100,BPCL,100MM WCB VALVE GATE API-600 A216 WCB 300#
IOCL-VAL-1088,IOCL,WCB VALVE GATE 50NB API-600 A216 WCB 150#
GAIL-VAL-1107,GAIL,"VALVE - WCB - GATE - API-600 A216 WCB - 8"" - 150#"
IOCL-FAS-1333,IOCL,C.S. FASTENER HEX NUT 3/4 INCH AA194 GR.2H
GAIL-VAL-1141,GAIL,"VALVE - CAST STEEL A216 WCB - GLOBE - BS 1873 A216 WCB - 4"" - CLASS 150"
BPCL-PIP-1026,BPCL,200 MM CS PIPE ASTM A106 GR B SCH 40
IOCL-VAL-1169,IOCL,"STN STL VALVE NEEDLE 1/2"" ASME B16.34 316 RATING 6000#"
BPCL-VAL-1146,BPCL,DN25 FORGED CARBON STEEL VAVLE GLOBE API 602 A105 800 LBS
BPCL-FIT-1404,BPCL,DN 50 CARBON-STL FITTING COUPLING FULL ASME B16.11 ASTM A105 RATING 3000#
ONGC-PIP-1058,ONGC,"PIPE, SS, 6"" NOMINAL, ASTM A312 316, SCH 40S"
GAIL-PIP-1441,GAIL,"PIPE - CS - ASTM A106 GR B - 2.5"" - SCH 40"
GAIL-FLA-1228,GAIL,"FLANGE - STAINLESS STEEL - WNRF - ASME-B16.5 ASTM A182 F316 - 4"" - 150#"
