material_code,ground_truth_cluster_id,category,is_deliberate_negative
ONGC-VAL-1157,46,VALVE,False
IOCL-VAL-1158,47,VALVE,False
IOCL-FLA-1200,58,FLANGE,False
ONGC-VAL-1111,33,VALVE,False
BPCL-FLA-1218,64,FLANGE,False
GAIL-FAS-1332,97,FASTENER,False
GAIL-VAL-1145,43,VALVE,False
GAIL-GAS-1264,77,GASKET,False
GAIL-PIP-1002,1,PIPE,False
IOCL-PIP-1027,9,PIPE,False
BPCL-FAS-1316,92,FASTENER,False
IOCL-FAS-1294,86,FASTENER,False
ONGC-FLA-1217,64,FLANGE,False
ONGC-FAS-1324,95,FASTENER,False
BPCL-GAS-1438,9012,GASKET,True
BPCL-FAS-1352,102,FASTENER,False
BPCL-VAL-1151,45,VALVE,False
IOCL-FIT-1381,110,FITTING,False
GAIL-FLA-1179,52,FLANGE,False
GAIL-PIP-1052,16,PIPE,False
ONGC-VAL-1143,42,VALVE,False
IOCL-PIP-1013,5,PIPE,False
BPCL-VAL-1161,47,VALVE,False
GAIL-FLA-1224,66,FLANGE,False
ONGC-GAS-1437,9012,GASKET,True
BPCL-GAS-1439,9013,GASKET,True
BPCL-VAL-1136,40,VALVE,False
GAIL-FLA-1181,53,FLANGE,False
ONGC-FIT-1383,111,FITTING,False
IOCL-FAS-1356,103,FASTENER,False
BPCL-FLA-1235,69,FLANGE,False
BPCL-FIT-1364,105,FITTING,False
IOCL-PIP-1054,16,PIPE,False
IOCL-PIP-1016,6,PIPE,False
ONGC-FAS-1309,90,FASTENER,False
BPCL-PIP-1011,4,PIPE,False
BPCL-FIT-1412,120,FITTING,False
GAIL-FLA-1209,61,FLANGE,False
GAIL-VAL-1164,48,VALVE,False
IOCL-PIP-1042,13,PIPE,False
GAIL-FLA-1188,55,FLANGE,False
ONGC-FAS-1328,96,FASTENER,False
GAIL-PIP-1443,9015,PIPE,True
ONGC-VAL-1106,32,VALVE,False
BPCL-PIP-1035,11,PIPE,False
IOCL-PIP-1038,12,PIPE,False
IOCL-FAS-1302,88,FASTENER,False
ONGC-FAS-1339,99,FASTENER,False
ONGC-PIP-1021,7,PIPE,False
GAIL-FLA-1230,68,FLANGE,False
IOCL-PIP-1036,11,PIPE,False
GAIL-FIT-1374,108,FITTING,False
IOCL-PIP-1010,4,PIPE,False
GAIL-PIP-1074,22,PIPE,False
IOCL-GAS-1242,71,GASKET,False
BPCL-GAS-1251,73,GASKET,False
ONGC-FIT-1409,119,FITTING,False
IOCL-FLA-1222,65,FLANGE,False
ONGC-PIP-1039,12,PIPE,False
BPCL-VAL-1170,50,VALVE,False
BPCL-FIT-1368,107,FITTING,False
BPCL-VAL-1154,46,VALVE,False
IOCL-PIP-1084,25,PIPE,False
GAIL-FLA-1192,56,FLANGE,False
GAIL-PIP-1048,15,PIPE,False
ONGC-FAS-1449,9018,FASTENER,True
BPCL-FAS-1346,101,FASTENER,False
ONGC-PIP-1044,14,PIPE,False
BPCL-FAS-1421,9004,FASTENER,True
GAIL-FLA-1175,51,FLANGE,False
BPCL-FLA-1204,60,FLANGE,False
ONGC-FIT-1370,107,FITTING,False
BPCL-FAS-1308,90,FASTENER,False
BPCL-FAS-1321,94,FASTENER,False
IOCL-VAL-1134,40,VALVE,False
IOCL-FLA-1219,64,FLANGE,False
GAIL-FIT-1382,111,FITTING,False
IOCL-FAS-1353,102,FASTENER,False
ONGC-PIP-1051,16,PIPE,False
ONGC-FLA-1194,57,FLANGE,False
GAIL-FAS-1349,101,FASTENER,False
BPCL-FAS-1325,95,FASTENER,False
GAIL-PIP-1034,11,PIPE,False
ONGC-FLA-1189,55,FLANGE,False
IOCL-FLA-1215,63,FLANGE,False
ONGC-FLA-1431,9009,FLANGE,True
ONGC-VAL-1120,36,VALVE,False
IOCL-FIT-1423,9005,FITTING,True
ONGC-PIP-1033,11,PIPE,False
IOCL-FAS-1306,90,FASTENER,False
BPCL-PIP-1082,24,PIPE,False
GAIL-FAS-1350,102,FASTENER,False
GAIL-VAL-1446,9016,VALVE,True
IOCL-PIP-1050,15,PIPE,False
GAIL-FLA-1447,9017,FLANGE,True
ONGC-PIP-1416,9001,PIPE,True
ONGC-FLA-1173,51,FLANGE,False
BPCL-FAS-1317,93,FASTENER,False
GAIL-GAS-1276,81,GASKET,False
ONGC-VAL-1150,44,VALVE,False
GAIL-FAS-1419,9003,FASTENER,True
BPCL-PIP-1022,7,PIPE,False
GAIL-GAS-1292,85,GASKET,False
BPCL-FIT-1389,113,FITTING,False
ONGC-PIP-1003,1,PIPE,False
GAIL-FAS-1314,92,FASTENER,False
ONGC-VAL-1089,26,VALVE,False
ONGC-PIP-1067,20,PIPE,False
GAIL-VAL-1137,41,VALVE,False
IOCL-FLA-1229,67,FLANGE,False
GAIL-FIT-1393,114,FITTING,False
BPCL-FAS-1330,96,FASTENER,False
BPCL-FIT-1405,118,FITTING,False
IOCL-PIP-1046,14,PIPE,False
IOCL-PIP-1009,3,PIPE,False
IOCL-FIT-1396,115,FITTING,False
ONGC-FIT-1414,120,FITTING,False
BPCL-FAS-1299,87,FASTENER,False
IOCL-VAL-1155,46,VALVE,False
ONGC-FIT-1451,9019,FITTING,True
IOCL-FLA-1434,9010,FLANGE,True
GAIL-GAS-1271,79,GASKET,False
IOCL-GAS-1291,85,GASKET,False
GAIL-FAS-1323,94,FASTENER,False
GAIL-FLA-1199,58,FLANGE,False
ONGC-GAS-1281,82,GASKET,False
ONGC-FLA-1206,60,FLANGE,False
BPCL-FIT-1380,110,FITTING,False
ONGC-FAS-1322,94,FASTENER,False
BPCL-VAL-1425,9006,VALVE,True
IOCL-PIP-1415,9001,PIPE,True
ONGC-FIT-1366,106,FITTING,False
ONGC-VAL-1130,39,VALVE,False
IOCL-FIT-1375,109,FITTING,False
IOCL-FAS-1345,100,FASTENER,False
ONGC-FLA-1203,59,FLANGE,False
IOCL-VAL-1147,43,VALVE,False
GAIL-VAL-1087,26,VALVE,False
ONGC-PIP-1081,24,PIPE,False
ONGC-FLA-1210,62,FLANGE,False
ONGC-PIP-1007,3,PIPE,False
GAIL-FIT-1397,116,FITTING,False
GAIL-VAL-1112,33,VALVE,False
IOCL-FIT-1410,119,FITTING,False
GAIL-VAL-1104,31,VALVE,False
GAIL-FAS-1337,98,FASTENER,False
ONGC-VAL-1128,38,VALVE,False
IOCL-GAS-1278,81,GASKET,False
IOCL-VAL-1118,35,VALVE,False
BPCL-GAS-1259,76,GASKET,False
IOCL-PIP-1065,20,PIPE,False
GAIL-PIP-1066,20,PIPE,False
ONGC-PIP-1057,17,PIPE,False
GAIL-PIP-1418,9002,PIPE,True
IOCL-GAS-1270,79,GASKET,False
ONGC-FLA-1223,65,FLANGE,False
IOCL-FIT-1367,106,FITTING,False
ONGC-FAS-1297,87,FASTENER,False
ONGC-PIP-1069,21,PIPE,False
BPCL-VAL-1100,30,VALVE,False
IOCL-VAL-1088,26,VALVE,False
GAIL-VAL-1107,32,VALVE,False
IOCL-FAS-1333,97,FASTENER,False
GAIL-VAL-1141,42,VALVE,False
BPCL-PIP-1026,9,PIPE,False
IOCL-VAL-1169,49,VALVE,False
BPCL-VAL-1146,43,VALVE,False
BPCL-FIT-1404,117,FITTING,False
ONGC-PIP-1058,18,PIPE,False
GAIL-PIP-1441,9014,PIPE,True
GAIL-FLA-1228,67,FLANGE,False
IOCL-FLA-1237,69,FLANGE,False
IOCL-VAL-1103,31,VALVE,False
BPCL-FLA-1180,53,FLANGE,False
ONGC-FAS-1354,103,FASTENER,False
GAIL-PIP-1080,24,PIPE,False
GAIL-GAS-1250,73,GASKET,False
BPCL-PIP-1045,14,PIPE,False
BPCL-PIP-1004,2,PIPE,False
IOCL-PIP-1444,9015,PIPE,True
BPCL-GAS-1256,75,GASKET,False
GAIL-PIP-1032,10,PIPE,False
ONGC-FAS-1331,97,FASTENER,False
ONGC-FAS-1336,98,FASTENER,False
ONGC-FAS-1300,88,FASTENER,False
BPCL-VAL-1092,27,VALVE,False
GAIL-FIT-1411,119,FITTING,False
IOCL-VAL-1109,32,VALVE,False
BPCL-GAS-1290,85,GASKET,False
BPCL-GAS-1272,79,GASKET,False
GAIL-FLA-1236,69,FLANGE,False
GAIL-FAS-1357,103,FASTENER,False
ONGC-VAL-1135,40,VALVE,False
GAIL-GAS-1267,78,GASKET,False
BPCL-PIP-1031,10,PIPE,False
GAIL-FLA-1197,57,FLANGE,False
ONGC-FAS-1315,92,FASTENER,False
ONGC-PIP-1047,15,PIPE,False
IOCL-VAL-1153,45,VALVE,False
GAIL-GAS-1440,9013,GASKET,True
IOCL-FIT-1369,107,FITTING,False
IOCL-GAS-1262,76,GASKET,False
IOCL-PIP-1029,10,PIPE,False
GAIL-FIT-1413,120,FITTING,False
IOCL-FLA-1187,55,FLANGE,False
IOCL-VAL-1099,30,VALVE,False
IOCL-VAL-1172,50,VALVE,False
IOCL-VAL-1129,38,VALVE,False
ONGC-FAS-1305,89,FASTENER,False
GAIL-GAS-1248,72,GASKET,False
BPCL-VAL-1116,35,VALVE,False
ONGC-FIT-1399,116,FITTING,False
GAIL-PIP-1018,6,PIPE,False
IOCL-FAS-1422,9004,FASTENER,True
BPCL-FLA-1201,59,FLANGE,False
IOCL-FIT-1362,105,FITTING,False
IOCL-GAS-1257,75,GASKET,False
BPCL-PIP-1068,20,PIPE,False
IOCL-FLA-1207,61,FLANGE,False
BPCL-FLA-1216,63,FLANGE,False
ONGC-FIT-1406,118,FITTING,False
BPCL-FIT-1377,109,FITTING,False
GAIL-FLA-1220,65,FLANGE,False
IOCL-FIT-1452,9019,FITTING,True
BPCL-PIP-1008,3,PIPE,False
IOCL-FLA-1240,70,FLANGE,False
BPCL-PIP-1015,5,PIPE,False
BPCL-PIP-1025,8,PIPE,False
GAIL-FIT-1363,105,FITTING,False
GAIL-FAS-1327,96,FASTENER,False
GAIL-FIT-1454,9020,FITTING,True
BPCL-FLA-1221,65,FLANGE,False
BPCL-FLA-1174,51,FLANGE,False
IOCL-FIT-1453,9020,FITTING,True
IOCL-FIT-1400,116,FITTING,False
BPCL-FLA-1448,9017,FLANGE,True
IOCL-GAS-1280,82,GASKET,False
GAIL-PIP-1059,18,PIPE,False
IOCL-FAS-1320,93,FASTENER,False
GAIL-VAL-1127,38,VALVE,False
BPCL-GAS-1245,71,GASKET,False
BPCL-FLA-1435,9011,FLANGE,True
IOCL-FAS-1338,98,FASTENER,False
BPCL-VAL-1430,9008,VALVE,True
IOCL-FLA-1176,51,FLANGE,False
BPCL-PIP-1040,12,PIPE,False
GAIL-GAS-1258,75,GASKET,False
BPCL-FAS-1450,9018,FASTENER,True
BPCL-GAS-1277,81,GASKET,False
ONGC-VAL-1165,48,VALVE,False
ONGC-GAS-1255,74,GASKET,False
GAIL-VAL-1426,9006,VALVE,True
BPCL-VAL-1163,48,VALVE,False
ONGC-FIT-1385,112,FITTING,False
ONGC-FAS-1351,102,FASTENER,False
GAIL-PIP-1043,13,PIPE,False
BPCL-FAS-1334,97,FASTENER,False
IOCL-PIP-1071,21,PIPE,False
IOCL-PIP-1063,19,PIPE,False
BPCL-FAS-1311,91,FASTENER,False
ONGC-FLA-1183,53,FLANGE,False
ONGC-VAL-1445,9016,VALVE,True
GAIL-GAS-1253,74,GASKET,False
ONGC-FLA-1433,9010,FLANGE,True
BPCL-FIT-1386,112,FITTING,False
GAIL-FIT-1379,110,FITTING,False
ONGC-VAL-1167,49,VALVE,False
BPCL-GAS-1254,74,GASKET,False
ONGC-VAL-1171,50,VALVE,False
BPCL-VAL-1102,31,VALVE,False
GAIL-FAS-1298,87,FASTENER,False
BPCL-FLA-1193,56,FLANGE,False
GAIL-VAL-1123,37,VALVE,False
GAIL-FAS-1319,93,FASTENER,False
BPCL-FIT-1373,108,FITTING,False
ONGC-FIT-1391,114,FITTING,False
BPCL-FIT-1424,9005,FITTING,True
IOCL-FIT-1358,104,FITTING,False
IOCL-PIP-1072,22,PIPE,False
GAIL-VAL-1133,40,VALVE,False
ONGC-FIT-1403,117,FITTING,False
ONGC-PIP-1030,10,PIPE,False
ONGC-FLA-1226,66,FLANGE,False
GAIL-FAS-1312,91,FASTENER,False
IOCL-FLA-1231,68,FLANGE,False
ONGC-FLA-1208,61,FLANGE,False
IOCL-FLA-1202,59,FLANGE,False
BPCL-VAL-1142,42,VALVE,False
GAIL-GAS-1243,71,GASKET,False
ONGC-VAL-1152,45,VALVE,False
GAIL-VAL-1427,9007,VALVE,True
BPCL-FAS-1341,99,FASTENER,False
ONGC-FIT-1372,108,FITTING,False
ONGC-VAL-1124,37,VALVE,False
BPCL-FLA-1212,62,FLANGE,False
BPCL-VAL-1122,37,VALVE,False
BPCL-GAS-1246,72,GASKET,False
BPCL-GAS-1283,83,GASKET,False
GAIL-FLA-1185,54,FLANGE,False
BPCL-FIT-1408,119,FITTING,False
ONGC-FIT-1394,115,FITTING,False
GAIL-PIP-1075,23,PIPE,False
ONGC-FAS-1348,101,FASTENER,False
BPCL-FLA-1198,58,FLANGE,False
GAIL-PIP-1014,5,PIPE,False
GAIL-VAL-1429,9008,VALVE,True
BPCL-PIP-1086,25,PIPE,False
GAIL-PIP-1028,9,PIPE,False
ONGC-PIP-1017,6,PIPE,False
BPCL-FLA-1233,68,FLANGE,False
GAIL-FLA-1456,9021,FLANGE,True
BPCL-PIP-1001,1,PIPE,False
GAIL-FIT-1376,109,FITTING,False
IOCL-VAL-1125,37,VALVE,False
ONGC-PIP-1005,2,PIPE,False
BPCL-FLA-1227,67,FLANGE,False
BPCL-PIP-1061,18,PIPE,False
ONGC-VAL-1160,47,VALVE,False
ONGC-FLA-1191,56,FLANGE,False
ONGC-FAS-1420,9003,FASTENER,True
BPCL-VAL-1132,39,VALVE,False
BPCL-VAL-1095,28,VALVE,False
ONGC-FIT-1378,109,FITTING,False
IOCL-PIP-1079,24,PIPE,False
BPCL-PIP-1056,17,PIPE,False
IOCL-GAS-1287,84,GASKET,False
ONGC-VAL-1094,28,VALVE,False
ONGC-FLA-1239,70,FLANGE,False
BPCL-PIP-1049,15,PIPE,False
ONGC-FLA-1184,54,FLANGE,False
BPCL-FLA-1238,70,FLANGE,False
BPCL-FAS-1355,103,FASTENER,False
IOCL-PIP-1076,23,PIPE,False
BPCL-FAS-1304,89,FASTENER,False
ONGC-PIP-1078,23,PIPE,False
ONGC-GAS-1249,73,GASKET,False
IOCL-FIT-1384,111,FITTING,False
IOCL-FAS-1340,99,FASTENER,False
ONGC-GAS-1288,84,GASKET,False
IOCL-VAL-1162,48,VALVE,False
ONGC-FLA-1234,69,FLANGE,False
IOCL-FAS-1296,87,FASTENER,False
GAIL-VAL-1149,44,VALVE,False
IOCL-VAL-1119,36,VALVE,False
BPCL-VAL-1121,36,VALVE,False
GAIL-FAS-1307,90,FASTENER,False
BPCL-FIT-1398,116,FITTING,False
IOCL-VAL-1138,41,VALVE,False
GAIL-VAL-1168,49,VALVE,False
GAIL-PIP-1006,2,PIPE,False
GAIL-VAL-1156,46,VALVE,False
BPCL-FLA-1195,57,FLANGE,False
GAIL-VAL-1114,34,VALVE,False
ONGC-VAL-1105,31,VALVE,False
BPCL-FAS-1301,88,FASTENER,False
BPCL-PIP-1417,9002,PIPE,True
BPCL-FAS-1344,100,FASTENER,False
ONGC-PIP-1442,9014,PIPE,True
GAIL-FLA-1241,70,FLANGE,False
GAIL-GAS-1261,76,GASKET,False
IOCL-FLA-1190,56,FLANGE,False
BPCL-FAS-1335,98,FASTENER,False
ONGC-FLA-1232,68,FLANGE,False
ONGC-PIP-1083,25,PIPE,False
GAIL-FLA-1436,9011,FLANGE,True
IOCL-FIT-1371,108,FITTING,False
ONGC-VAL-1117,35,VALVE,False
IOCL-GAS-1265,77,GASKET,False
ONGC-FLA-1214,63,FLANGE,False
ONGC-VAL-1091,27,VALVE,False
IOCL-FAS-1347,101,FASTENER,False
IOCL-VAL-1148,44,VALVE,False
BPCL-VAL-1126,38,VALVE,False
ONGC-FAS-1313,91,FASTENER,False
IOCL-FIT-1402,117,FITTING,False
IOCL-FAS-1303,89,FASTENER,False
ONGC-VAL-1139,41,VALVE,False
IOCL-GAS-1252,73,GASKET,False
GAIL-FAS-1342,99,FASTENER,False
ONGC-PIP-1041,13,PIPE,False
IOCL-PIP-1024,8,PIPE,False
BPCL-GAS-1289,84,GASKET,False
BPCL-FIT-1392,114,FITTING,False
GAIL-VAL-1101,30,VALVE,False
BPCL-FLA-1177,52,FLANGE,False
IOCL-FLA-1211,62,FLANGE,False
GAIL-PIP-1085,25,PIPE,False
BPCL-PIP-1073,22,PIPE,False
GAIL-FIT-1401,117,FITTING,False
ONGC-FIT-1360,104,FITTING,False
GAIL-VAL-1093,28,VALVE,False
IOCL-VAL-1090,27,VALVE,False
IOCL-FAS-1310,91,FASTENER,False
BPCL-VAL-1166,49,VALVE,False
BPCL-GAS-1268,78,GASKET,False
ONGC-VAL-1096,29,VALVE,False
